City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
95,Longyearbyen,SJ,2022-02-11 17:31:18,78.2186,15.6401,21.04,86,75,5.75
96,Mount Gambier,AU,2022-02-11 17:33:14,-37.8333,140.7667,49.91,87,3,4.61
97,Watford,GB,2022-02-11 17:33:15,51.6553,-0.396,45.12,66,75,4.61
98,Okhotsk,RU,2022-02-11 17:33:15,59.3833,143.3,-10.23,87,98,8.59
99,Oktyabrskiy,RU,2022-02-11 17:33:15,54.4815,53.471,19.89,95,98,7.43
100,Cidreira,BR,2022-02-11 17:33:16,-30.1811,-50.2056,78.71,74,0,16.26
101,Warmbad,NA,2022-02-11 17:33:17,-28.45,18.7333,96.46,18,43,3.98
102,Evensk,RU,2022-02-11 17:33:17,61.95,159.2333,-13.32,73,44,6.08
103,San Jeronimo,PE,2022-02-11 17:33:17,-11.9472,-75.2829,54.88,74,77,7.11
104,Vanavara,RU,2022-02-11 17:33:18,60.34,102.2797,-22.54,100,26,1.21
105,Chapleau,CA,2022-02-11 17:33:18,47.8405,-83.4034,23.09,86,100,8.05
106,Lompoc,US,2022-02-11 17:33:18,34.6391,-120.4579,82.13,32,0,6.91
107,Constitucion,CL,2022-02-11 17:33:19,-35.3333,-72.4167,70.39,42,0,15.03
108,Conceicao Do Araguaia,BR,2022-02-11 17:33:19,-8.2578,-49.2647,83.39,70,87,3.85
109,Severo-Kurilsk,RU,2022-02-11 17:33:19,50.6789,156.125,22.87,89,96,4.12
110,Iquique,CL,2022-02-11 17:32:15,-20.2208,-70.1431,73.44,62,9,8.57
111,Altoona,US,2022-02-11 17:33:20,40.5187,-78.3947,53.65,43,83,5.01
112,Ribeira Grande,PT,2022-02-11 17:33:20,38.5167,-28.7,63.0,59,75,8.05
113,Okakarara,NA,2022-02-11 17:33:21,-20.5833,17.4333,71.71,66,78,4.54
114,Sovetskiy,RU,2022-02-11 17:33:21,61.3614,63.5842,4.69,85,100,12.35
115,Saint-Augustin,CA,2022-02-11 17:33:21,51.226,-58.6502,33.96,88,96,15.43
116,Byron Bay,AU,2022-02-11 17:33:22,-28.65,153.6167,73.29,85,49,15.1
117,Aku,NG,2022-02-11 17:33:22,6.7081,7.3167,95.07,11,16,4.54
118,Port Lincoln,AU,2022-02-11 17:33:23,-34.7333,135.8667,63.0,78,0,13.85
119,Urengoy,RU,2022-02-11 17:33:23,65.9667,78.3667,-10.05,86,83,10.04
120,Nazareno,MX,2022-02-11 17:33:23,25.3833,-103.4167,55.71,25,0,0.76
121,Anqiu,CN,2022-02-11 17:33:24,36.4342,119.1925,37.53,63,90,4.94
122,San Cristobal,VE,2022-02-11 17:33:24,7.7669,-72.225,66.38,56,83,3.0
123,Broome,US,2022-02-11 17:33:24,42.2506,-75.833,49.17,50,0,12.66
124,Kamenka,RU,2022-02-11 17:33:25,51.3223,42.7678,34.75,99,100,17.47
125,Rio Pardo De Minas,BR,2022-02-11 17:33:25,-15.6097,-42.5397,83.28,54,34,5.99
126,Yulara,AU,2022-02-11 17:34:26,-25.2406,130.9889,69.64,37,0,5.75
127,Porto Novo,BJ,2022-02-11 17:34:26,6.4965,2.6036,87.62,79,29,10.22
128,Tamale,GH,2022-02-11 17:34:26,9.4008,-0.8393,92.75,8,9,4.43
129,Axim,GH,2022-02-11 17:34:27,4.8699,-2.2405,81.45,78,30,10.38
130,Narsaq,GL,2022-02-11 17:34:27,60.9167,-46.05,25.02,70,100,4.65
131,Upata,VE,2022-02-11 17:34:28,8.0086,-62.3989,86.43,43,45,7.05
